model_name,occur_during_sleep,head_turning,blank_stare,close_eyes,eye_blinking,face_pulling,face_twitching,tonic,clonic,arm_flexion,arm_straightening,figure4,oral_automatisms,limb_automatisms,pelvic_thrusting,full_body_shaking,asynchronous_movement,arms_move_simultaneously,verbal_responsiveness,ictal_vocalization
AF3,,,,,,,,,,,,,,,,,,,0.51,0.55
InterVL3_5-8B,0.53,0.7,0.14,0.23,0.86,0.81,0.09,0.58,0.69,0.44,0.57,0.76,0.32,0.28,0.84,0.67,0.61,0.55,,
InternVL3_5-38B,0.64,0.69,0.18,0.22,0.79,0.45,0.09,0.61,0.64,0.58,0.58,0.68,0.62,0.33,0.65,0.51,0.44,0.1,,
Lingshu-32B,0.65,0.56,0.21,0.3,0.51,0.43,0.16,0.59,0.71,0.51,0.5,0.57,0.56,0.45,0.67,0.59,0.53,0.21,,
Qwen2_5-Omni-7B,0.53,0.65,0.19,0.24,0.72,0.69,0.12,0.61,0.69,0.43,0.37,0.73,0.52,0.56,0.67,0.33,0.27,0.13,0.51,0.57
Qwen2_5-VL-32B-Instruct,0.65,0.7,0.29,0.45,0.73,0.73,0.23,0.62,0.69,0.56,0.6,0.79,0.61,0.38,0.73,0.66,0.56,0.56,,
Qwen2_5-VL-72B-Instruct,0.67,0.53,0.31,0.4,0.6,0.25,0.37,0.51,0.62,0.5,0.54,0.71,0.57,0.28,0.56,0.48,0.43,0.33,,
Qwen2_5-VL-7B-Instruct,0.51,0.35,0.12,0.25,0.36,0.38,0.19,0.56,0.64,0.42,0.4,0.65,0.56,0.33,0.76,0.45,0.43,0.17,,
Qwen3-VL-32B-Instruct,0.71,0.69,0.3,0.45,0.84,0.69,0.15,0.61,0.72,0.55,0.53,0.79,0.6,0.36,0.79,0.58,0.52,0.37,,
Qwen3-VL-8B-Instruct,0.69,0.71,0.28,0.46,0.86,0.84,0.14,0.61,0.69,0.57,0.64,0.78,0.82,0.52,0.86,0.67,0.58,0.57,,